Fighter,Peak_Elo,Peak_Elo_Year,Current_Elo,Matches
Leandro Rounaud Lima,1758.16,2024,1711.87,109
Rui Alves,1746.2,2025,1710.94,48
Shelby Murphey,1753.78,2024,1710.44,23
Thiago Macedo,1782.14,2018,1709.6,293
Amanda Leve,1733.77,2024,1709.14,23
Osamah Almarwai,1731.91,2024,1709.07,65
Rodrigo Francioni,1708.81,2024,1708.81,80
Jefferson Fagundes,1762.18,2024,1708.79,56
Luan Carvalho,1813.19,2021,1708.41,158
Larissa Campos,1708.34,2025,1708.34,49
Pierre-Olivier Leclerc,1771.91,2024,1708.21,57
Pedro Agrizzi,1784.91,2022,1707.23,99
Joao Costa,1729.58,2024,1706.56,36
Henrique Betta,1795.01,2025,1705.93,57
"Gabriel Costa ""Maranhao""",1817.8,2023,1705.78,125
Pedro Ramalho,1717.72,2024,1705.73,15
Rudson Mateus,1715.27,2019,1705.65,36
Bebeto Oliveira,1792.93,2022,1705.24,83
Paulo Gabriel Martins,1756.76,2020,1704.96,45
Jackson Sousa,1836.1,2017,1704.55,260
Aj Sousa,1725.95,2016,1703.01,48
Laura Sieradzan,1702.73,2025,1702.73,16
Max Lindblad,1732.89,2020,1702.33,115
Omar Alsuwaidi,1702.05,2025,1702.05,27
"Vinicius ""Trator"" Ferreira",1771.08,2021,1701.51,111
Izadora Cristina,1725.67,2024,1701.08,35
Daniel Sathler,1738.45,2024,1700.51,55
Mackenzie Dern,1819.88,2016,1699.24,102
Romulo Barral,1726.05,2016,1697.9,33
Gabrielle Mccomb,1721.71,2023,1697.65,12
Junny Ocasio,1695.65,2024,1695.65,25
Cassia Moura,1712.7,2025,1695.59,25
Igor Feliz,1742.0,2022,1695.58,62
Nathannael Fernandes,1701.17,2025,1695.03,30
Claudio Calasans,1771.44,2017,1692.78,59
Murilo Amaral,1707.81,2023,1692.36,55
Vitor Henrique Oliveira,1783.73,2018,1691.15,133
Sergio Moraes,1723.01,2011,1690.82,35
Ali Monfaradi,1778.11,2021,1690.49,178
Jordan Vaisman,1734.07,2024,1689.84,55
Fernanda Cristo,1743.76,2025,1688.88,45
Nick Salles,1701.57,2024,1688.44,49
Ademir Barreto,1690.58,2025,1688.08,37
Malachi Edmond,1703.29,2025,1687.33,54
Marcos Carrozzino,1698.0,2025,1687.11,49
"Aaron ""Tex"" Johnson",1781.17,2019,1686.87,152
Roberto 'Roleta' Magalhaes,1736.78,1998,1686.31,29
Luiz Felipe Santos,1710.73,2025,1685.33,37
Marcelo Fausto,1745.17,2023,1685.15,64
Alex Munis,1683.56,2024,1683.56,90
Rafael Dos Anjos Torres,1693.44,2025,1682.1,77
Yago Souza,1714.74,2021,1682.02,17
Michael Jalen Fonacier,1681.88,2025,1681.88,22
Pedro Silva De Souza,1747.85,2024,1681.42,50
Jt Torres,1711.52,2022,1681.07,39
Gabriela Pereira,1691.66,2025,1681.07,79
Marcos Tinoco,1713.72,2019,1681.03,45
Melissa Cueto,1694.93,2025,1680.89,49
Jaime Canuto,1825.8,2017,1680.39,254
Yuri Hendrex,1747.56,2024,1680.16,130
Giovanna Carneiro,1712.46,2024,1679.42,30
Guthierry Barbosa,1798.19,2020,1678.72,87
Luiz Paulo,1809.19,2024,1678.04,146
Alef Brito,1757.48,2019,1677.25,114
Orlando Sanchez,1717.58,2019,1676.86,22
Maria Carolina Vicentini,1729.21,2025,1676.4,52
Braga Neto,1678.46,2009,1676.17,22
Matias Estevez,1725.73,2023,1675.5,35
Jonata Gomes,1716.13,2024,1674.66,38
Zach Kaina,1700.91,2025,1673.23,55
Edwin Najmi,1743.23,2017,1673.08,33
Mario Reis,1728.7,2005,1672.48,82
Ary Farias,1729.64,2018,1671.65,43
Matheus Lima,1708.02,2024,1671.59,29
Yuta Shimada,1830.92,2017,1671.37,103
Brenda Larissa,1765.34,2024,1671.07,100
Vitoria Vieira,1734.0,2024,1670.81,96
Murilo Santana,1770.63,2009,1670.71,193
Lucas Gualberto,1788.74,2021,1670.39,105
Joao Assonitis,1698.71,2024,1669.01,33
Italo Lima Costa,1719.85,2023,1667.54,60
Higor Lima,1770.01,2021,1666.67,81
Danilo Moreira,1715.52,2022,1666.66,105
Rida Haisam,1739.54,2022,1666.57,74
Vinicius Martins,1732.96,2023,1665.95,66
Nathiely Jesus,1674.58,2024,1664.93,21
"Carlos Jose Junior ""Righetti""",1675.35,2025,1664.88,14
Maria Vicentini,1664.32,2025,1664.32,21
Frank Rosenthal,1742.47,2022,1663.57,55
Maria Luiza,1717.88,2025,1663.28,65
Michael Liera,1732.5,2020,1659.83,58
Alexandre Manara,1728.24,2025,1659.54,66
Gilbert Burns,1661.88,2021,1658.94,20
Seif Houmine,1666.5,2020,1658.49,21
Julia Maele,1728.89,2022,1657.97,38
Windson Torres,1687.59,2025,1657.55,33
Amanda Bruse,1679.56,2025,1657.42,48
Alehander Mariano,1680.3,2025,1657.42,22
Wallisson Oliveira,1661.8,2025,1656.67,32
Felipe Cesar,1827.12,2015,1655.99,278
Jhenifer Aquino,1677.47,2023,1655.95,32
Ana Lima Da Silva,1667.61,2024,1655.69,18
"Igor ""Tigrao"" Schneider",1767.13,2022,1654.95,181
Maria Luisa Delahaye,1742.59,2025,1654.63,48
Francisco Cuneo,1712.42,2023,1653.26,147
Renan Cruz,1698.83,2024,1652.78,29
Gabriel Henrique Oliveira,1751.04,2022,1652.56,119
Heikki Jussila,1673.85,2023,1652.31,10
Luciana Mota,1689.78,2023,1651.78,28
Leo Nogueira,1663.05,2017,1651.49,23
Felipe Costa,1653.3,2024,1650.46,35
Mateus Moraes,1658.25,2025,1650.43,33
Tomoyuki Hashimoto,1730.5,2018,1649.85,82
Declan Moody,1649.2,2025,1649.2,14
Andrew Soares,1677.3,2024,1648.13,24
Jose Bruno Matias,1747.13,2021,1646.79,80
Tanner Rice,1705.77,2018,1646.02,47
Sabrina Gondim,1645.69,2024,1645.69,22
Osvaldo Moizinho,1697.29,2019,1645.57,66
Erin Harpe,1644.71,2024,1644.71,11
Arley Pacheco,1643.4,2025,1643.4,53
Victor Nithael,1651.76,2024,1642.94,86
Jessica Caroline,1674.34,2025,1642.66,50
Alessandro Botelho,1665.23,2023,1642.63,15
Marcelo Gomide,1667.12,2019,1642.06,103
Eduardo Granzotto,1647.6,2025,1641.58,32
Bruno Frazatto,1764.42,2015,1640.91,79
Vitor Oliveira,1667.31,2016,1640.78,35
Wellington Luis,1678.25,2021,1639.52,50
Leo Saggioro,1651.58,2024,1639.4,57
Florian Bayili,1671.58,2024,1639.13,81
Gabriel Costa,1638.84,2024,1638.84,42
M. Szczecinski,1638.78,2025,1638.78,17
Caio Vinicius,1679.87,2024,1637.45,51
Damion Oranday,1678.79,2022,1637.33,59
Celso Vinicius,1688.39,2011,1636.33,29
Daniel Conceicao,1635.98,2025,1635.98,10
Vinicius Trator,1652.94,2024,1635.96,52
Dominic Mejia,1641.34,2025,1635.68,14
Nia Blackman,1679.42,2024,1635.65,47
Tacio Carneiro,1647.21,2025,1635.49,50
Amanda Monteiro,1673.0,2020,1635.23,28
Jed Hue,1653.97,2024,1633.78,16
Ygor Rodrigues,1656.35,2025,1633.67,31
Tammi Musumeci,1642.63,2024,1633.6,18
Wallace Costa,1768.28,2022,1633.55,149
Eric Phan,1633.11,2025,1633.11,38
"Marcos ""Petcho"" Martins",1761.46,2019,1632.81,116
Brigida Felipe,1693.16,2023,1632.17,10
Gabriel Henrique,1658.41,2023,1632.1,40
Marcus Beddor,1648.93,2021,1632.01,57
Rafael Silveira,1647.73,2025,1631.58,29
Ana Beatriz Santos,1631.49,2025,1631.49,15
Harryson Pereira,1710.56,2023,1631.25,118
Ariel Tabak,1677.82,2022,1630.59,72
Davis Asare,1638.85,2025,1630.11,15
Nadia Frankland,1729.58,2024,1630.01,38
Servio Tulio,1748.91,2024,1629.02,132
Thaynara Victoria,1651.21,2025,1628.66,20
Vinicius Lessa,1659.47,2024,1628.18,94
Kevin Mahecha,1685.99,2024,1627.3,199
Fabyury Khrysthyan,1696.5,2025,1626.74,43
Lucas Norat,1635.76,2025,1626.31,90
Renato Cardoso,1634.55,2022,1625.84,80
Shay Montague,1647.99,2023,1624.69,13
Gabriel Volante,1712.31,2019,1624.57,36
Frank Cespedes,1624.19,2025,1624.19,47
Anabel Lopez,1671.68,2024,1623.96,25
Guilherme Cordiviola,1648.16,2025,1623.85,66
Matheus Luna,1631.41,2025,1623.35,52
Joao Nicolite,1793.06,2024,1622.66,71
Rafael Borges,1639.4,2024,1622.61,16
Gilson Nunes,1660.89,2018,1622.49,24
Austin Oranday,1712.54,2024,1622.37,194
Rodrigo Cavaca,1655.8,2013,1621.79,17
Pablo Popovitch,1664.11,2011,1620.77,12
Vannessa Griffin,1659.88,2021,1620.51,74
Jessa Khan,1640.22,2023,1619.06,33
Pedro Bolo,1680.26,2023,1618.5,16
Emily Fernandez,1639.37,2023,1617.6,39
Lucas Castro,1651.38,2024,1617.44,35
Aurelie Vern,1637.16,2025,1617.25,19
Joao Pedro Menezes,1673.41,2025,1616.99,13
Vinicius Pereira,1663.69,2022,1616.15,77
Leonardo Leite,1740.86,2006,1615.78,33
Fabio Alano,1699.93,2023,1615.17,34
Hygor Brito,1687.47,2023,1614.69,190
Bruno Matias,1712.48,2021,1614.14,42
Guilherme Bacha,1613.46,2022,1613.46,29
Caio Terra,1663.02,2013,1613.35,16
Lucas Foguinho Souza,1614.14,2025,1612.76,32
Kauane Ramos Da Silva,1686.39,2024,1612.37,17
Welerson Goncalves,1683.88,2024,1611.98,91
Sabatha Lais,1611.03,2025,1611.03,18
Gavin Corbe,1668.59,2022,1610.23,13
Tex Johnson,1617.81,2021,1610.04,62
Franco Diaz,1644.49,2025,1609.36,13
Rafael Anjos,1615.1,2025,1609.29,34
Gabrielle Garcia,1679.23,2015,1608.7,12
Kevin Gabriel,1653.42,2024,1607.94,20
Paulo Gabriel,1628.01,2019,1607.85,20
Gabriel Cardoso,1680.43,2023,1607.53,26
Eduardo Roque,1635.31,2023,1607.01,38
Felipe Machado,1606.19,2025,1606.19,10
Marcin Maciulewicz,1615.84,2024,1604.96,10
Luiz Panza,1643.49,2018,1604.4,42
Dillon Danis,1621.71,2016,1601.09,13
Bruno Bressan,1603.95,2025,1600.56,19
Igor Schneider,1643.24,2023,1598.95,67
Rose El Sharouni,1638.65,2023,1598.74,70
Leon Brito,1691.03,2021,1598.21,71
Salla Simola,1621.46,2023,1597.13,45
Angelo Claiborne,1605.55,2025,1597.09,26
Fabricio Werdum,1596.97,2018,1596.97,12
Mariana Rolszt,1625.76,2025,1596.63,64
Diego Borges,1648.93,2017,1596.33,15
Elizabeth Mitrovic,1760.83,2024,1595.85,110
Thiago Saboia,1633.65,2024,1595.27,31
Adriano Araujo,1652.79,2019,1595.21,32
Daniel Maira,1621.74,2022,1595.21,76
Michael Perez,1597.24,2023,1594.64,27
Jake Watson,1651.18,2021,1594.25,29
Fernanda Mazzelli,1598.39,2022,1594.13,15
Pedro Rocha,1603.66,2019,1594.1,28
Victor Silverio,1672.11,2017,1593.47,56
Leon Mendonca,1609.41,2025,1592.57,14
Lucas Leite,1599.25,2015,1592.35,11
Jeremy Jackson,1632.82,2020,1592.31,47
Marco Mendes,1666.11,2024,1592.11,57
Sam Mcnally,1695.5,2023,1591.7,61
R. Evangelista,1662.43,2023,1590.62,65
Marcos Gomes Guedes,1627.57,2025,1590.27,31
Inseong Jang,1628.71,2019,1587.06,23
Lucas Lisboa,1604.94,2021,1585.54,47
Pedro Dias,1655.98,2023,1584.67,100
Leonardo Oliveira,1587.28,2025,1583.32,12
Nicholas Maglicic,1639.28,2025,1583.13,24
Rodnei Barbosa,1756.39,2019,1582.16,112
Lucas Silva,1660.72,2023,1580.17,71
Jake Mackenzie,1651.97,2018,1579.09,12
Daniel Amorim Junior,1616.17,2021,1578.71,23
Nick Calvanese,1604.71,2018,1578.46,11
Tadiyah Danforth,1665.4,2024,1578.44,52
Gabriel De Oliveira,1720.85,2024,1578.38,74
Alejandro Tolmos,1606.61,2023,1577.14,15
Isabely Lemos,1597.69,2024,1576.26,13
Luan Andrei,1603.49,2021,1575.61,29
Johnny Tama,1729.51,2017,1575.33,190
Lucio Rodrigues,1660.14,2016,1572.29,16
Breylor Grout,1598.26,2023,1570.88,12
Samir Chantre,1610.02,2016,1570.4,33
Chayse Diekema,1592.45,2025,1568.13,25
Raul Basilio,1570.53,2025,1567.95,62
John Hansen,1567.33,2023,1566.33,18
Anthony Robinson,1603.57,2023,1564.35,17
Kennedy Franklin,1676.98,2024,1564.29,23
Gabriel Procopio,1577.72,2018,1564.17,12
Eduardo Avelar Carvalho,1676.54,2022,1562.6,144
Antonio Carlos,1582.21,2012,1562.51,11
Lachlan Giles,1567.84,2019,1562.5,14
